start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-02 00:10:50+00:00,2026-06-02 00:11:25+00:00,2026-06-02 00:11:38+00:00,232.0,0.0,232.0,48.0,HEL1OS
2026-06-02 00:20:22+00:00,2026-06-02 00:20:30+00:00,2026-06-02 00:21:14+00:00,296.0,0.0,296.0,52.0,HEL1OS
2026-06-02 00:26:03+00:00,2026-06-02 00:26:36+00:00,2026-06-02 00:27:13+00:00,261.0,0.0,261.0,70.0,HEL1OS
2026-06-02 00:29:21+00:00,2026-06-02 00:30:48+00:00,2026-06-02 00:30:52+00:00,318.0,0.0,318.0,91.0,HEL1OS
2026-06-02 00:33:13+00:00,2026-06-02 00:34:24+00:00,2026-06-02 00:35:56+00:00,277.0,0.0,277.0,163.0,HEL1OS
2026-06-02 00:39:53+00:00,2026-06-02 00:39:55+00:00,2026-06-02 00:40:14+00:00,235.0,0.0,235.0,21.0,HEL1OS
2026-06-02 00:46:19+00:00,2026-06-02 00:46:36+00:00,2026-06-02 00:49:16+00:00,269.0,0.0,269.0,177.0,HEL1OS
2026-06-02 01:05:05+00:00,2026-06-02 01:05:21+00:00,2026-06-02 01:05:29+00:00,210.0,0.0,210.0,24.0,HEL1OS
2026-06-02 01:18:14+00:00,2026-06-02 01:18:22+00:00,2026-06-02 01:18:26+00:00,242.0,0.0,242.0,12.0,HEL1OS
2026-06-02 01:25:45+00:00,2026-06-02 01:26:01+00:00,2026-06-02 01:26:14+00:00,182.0,0.0,182.0,29.0,HEL1OS
2026-06-02 01:35:52+00:00,2026-06-02 01:35:57+00:00,2026-06-02 01:36:08+00:00,182.0,0.0,182.0,16.0,HEL1OS
2026-06-02 01:40:37+00:00,2026-06-02 01:40:49+00:00,2026-06-02 01:42:49+00:00,235.0,0.0,235.0,132.0,HEL1OS
2026-06-02 01:50:07+00:00,2026-06-02 01:50:14+00:00,2026-06-02 01:50:58+00:00,308.0,0.0,308.0,51.0,HEL1OS
2026-06-02 02:00:07+00:00,2026-06-02 02:00:58+00:00,2026-06-02 02:01:06+00:00,202.0,0.0,202.0,59.0,HEL1OS
2026-06-02 02:05:25+00:00,2026-06-02 02:05:34+00:00,2026-06-02 02:06:56+00:00,269.0,0.0,269.0,91.0,HEL1OS
2026-06-02 02:14:08+00:00,2026-06-02 02:15:10+00:00,2026-06-02 02:15:33+00:00,236.0,0.0,236.0,85.0,HEL1OS
2026-06-02 02:18:36+00:00,2026-06-02 02:19:16+00:00,2026-06-02 02:20:56+00:00,285.0,0.0,285.0,140.0,HEL1OS
2026-06-02 02:38:38+00:00,2026-06-02 02:38:52+00:00,2026-06-02 02:38:59+00:00,239.0,0.0,239.0,21.0,HEL1OS
2026-06-02 02:43:07+00:00,2026-06-02 02:43:27+00:00,2026-06-02 02:45:51+00:00,429.0,0.0,429.0,164.0,HEL1OS
2026-06-02 02:47:50+00:00,2026-06-02 02:48:23+00:00,2026-06-02 02:49:11+00:00,237.0,0.0,237.0,81.0,HEL1OS
2026-06-02 02:50:44+00:00,2026-06-02 02:50:59+00:00,2026-06-02 02:54:33+00:00,249.0,0.0,249.0,229.0,HEL1OS
2026-06-02 03:00:50+00:00,2026-06-02 03:01:17+00:00,2026-06-02 03:02:04+00:00,228.0,0.0,228.0,74.0,HEL1OS
2026-06-02 03:04:44+00:00,2026-06-02 03:04:53+00:00,2026-06-02 03:05:15+00:00,200.0,0.0,200.0,31.0,HEL1OS
2026-06-02 03:09:28+00:00,2026-06-02 03:10:53+00:00,2026-06-02 03:11:25+00:00,277.0,0.0,277.0,117.0,HEL1OS
2026-06-02 03:19:14+00:00,2026-06-02 03:20:01+00:00,2026-06-02 03:22:52+00:00,302.0,0.0,302.0,218.0,HEL1OS
2026-06-02 03:34:10+00:00,2026-06-02 03:35:03+00:00,2026-06-02 03:35:22+00:00,262.0,0.0,262.0,72.0,HEL1OS
2026-06-02 03:45:34+00:00,2026-06-02 03:46:11+00:00,2026-06-02 03:46:53+00:00,227.0,0.0,227.0,79.0,HEL1OS
2026-06-02 03:51:45+00:00,2026-06-02 03:52:01+00:00,2026-06-02 03:52:37+00:00,200.0,0.0,200.0,52.0,HEL1OS
2026-06-02 03:55:29+00:00,2026-06-02 03:55:54+00:00,2026-06-02 03:56:15+00:00,269.0,0.0,269.0,46.0,HEL1OS
2026-06-02 04:12:39+00:00,2026-06-02 04:12:45+00:00,2026-06-02 04:13:08+00:00,244.0,0.0,244.0,29.0,HEL1OS
2026-06-02 04:35:30+00:00,2026-06-02 04:38:05+00:00,2026-06-02 04:38:20+00:00,255.0,0.0,255.0,170.0,HEL1OS
2026-06-02 04:40:47+00:00,2026-06-02 04:41:01+00:00,2026-06-02 04:41:25+00:00,272.0,0.0,272.0,38.0,HEL1OS
2026-06-02 04:43:52+00:00,2026-06-02 04:44:31+00:00,2026-06-02 04:46:20+00:00,439.0,0.0,439.0,148.0,HEL1OS
2026-06-02 04:47:57+00:00,2026-06-02 04:48:52+00:00,2026-06-02 04:50:30+00:00,210.0,0.0,210.0,153.0,HEL1OS
2026-06-02 04:52:49+00:00,2026-06-02 04:53:13+00:00,2026-06-02 04:53:19+00:00,190.0,0.0,190.0,30.0,HEL1OS
2026-06-02 04:57:29+00:00,2026-06-02 04:57:35+00:00,2026-06-02 04:57:43+00:00,125.0,0.0,125.0,14.0,HEL1OS
2026-06-02 05:11:46+00:00,2026-06-02 05:12:11+00:00,2026-06-02 05:14:04+00:00,255.0,0.0,255.0,138.0,HEL1OS
2026-06-02 05:23:32+00:00,2026-06-02 05:23:34+00:00,2026-06-02 05:24:19+00:00,195.0,0.0,195.0,47.0,HEL1OS
2026-06-02 05:31:33+00:00,2026-06-02 05:33:11+00:00,2026-06-02 05:33:11+00:00,294.0,0.0,294.0,98.0,HEL1OS
2026-06-02 05:39:07+00:00,2026-06-02 05:39:15+00:00,2026-06-02 05:40:33+00:00,286.0,0.0,286.0,86.0,HEL1OS
2026-06-02 05:45:17+00:00,2026-06-02 05:46:06+00:00,2026-06-02 05:46:28+00:00,373.0,0.0,373.0,71.0,HEL1OS
2026-06-02 05:49:32+00:00,2026-06-02 05:49:41+00:00,2026-06-02 05:50:09+00:00,304.0,0.0,304.0,37.0,HEL1OS
2026-06-02 05:59:34+00:00,2026-06-02 06:00:14+00:00,2026-06-02 06:01:01+00:00,207.0,0.0,207.0,87.0,HEL1OS
2026-06-02 06:24:58+00:00,2026-06-02 06:25:13+00:00,2026-06-02 06:27:56+00:00,246.0,0.0,246.0,178.0,HEL1OS
2026-06-02 06:29:31+00:00,2026-06-02 06:30:00+00:00,2026-06-02 06:30:07+00:00,196.0,0.0,196.0,36.0,HEL1OS
2026-06-02 06:44:04+00:00,2026-06-02 06:44:04+00:00,2026-06-02 06:45:37+00:00,322.0,0.0,322.0,93.0,HEL1OS
2026-06-02 06:48:24+00:00,2026-06-02 06:48:38+00:00,2026-06-02 06:49:14+00:00,226.0,0.0,226.0,50.0,HEL1OS
2026-06-02 06:51:05+00:00,2026-06-02 06:51:53+00:00,2026-06-02 06:54:37+00:00,304.0,0.0,304.0,212.0,HEL1OS
2026-06-02 06:57:54+00:00,2026-06-02 07:00:31+00:00,2026-06-02 07:02:26+00:00,267.0,0.0,267.0,272.0,HEL1OS
2026-06-02 07:07:49+00:00,2026-06-02 07:08:39+00:00,2026-06-02 07:09:01+00:00,203.0,0.0,203.0,72.0,HEL1OS
2026-06-02 07:10:44+00:00,2026-06-02 07:10:52+00:00,2026-06-02 07:11:04+00:00,243.0,0.0,243.0,20.0,HEL1OS
2026-06-02 07:25:00+00:00,2026-06-02 07:27:09+00:00,2026-06-02 07:27:33+00:00,236.0,0.0,236.0,153.0,HEL1OS
2026-06-02 07:39:33+00:00,2026-06-02 07:40:32+00:00,2026-06-02 07:41:09+00:00,291.0,0.0,291.0,96.0,HEL1OS
2026-06-02 07:53:26+00:00,2026-06-02 07:53:56+00:00,2026-06-02 07:54:43+00:00,271.0,0.0,271.0,77.0,HEL1OS
